Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2001,21,STL,NL,161,676,590,112,194,47,4,37,130,1,3,69,93,.329,.403,.610,1.013,157,360,21,9,1,7,6,5379/DH,ASMVP-4RoY-1SS
2002,22,STL,NL,157,675,590,118,185,40,2,34,127,2,4,72,69,.314,.394,.561,.955,151,331,20,9,0,4,13,*753/DH96,MVP-2
2003,23,STL,NL,157,685,591,137,212,51,1,43,124,5,1,79,65,.359,.439,.667,1.106,187,394,13,10,0,5,12,*73/HD,ASMVP-2SS
2004,24,STL,NL,154,692,592,133,196,51,2,46,123,5,5,84,52,.331,.415,.657,1.072,173,389,21,7,0,9,12,*3/DH,ASMVP-3SS
2005,25,STL,NL,161,700,591,129,195,38,2,41,117,16,2,97,65,.330,.430,.609,1.039,168,360,19,9,0,3,27,*3/H,ASMVP-1
2006,26,STL,NL,143,634,535,119,177,33,1,49,137,7,2,92,50,.331,.431,.671,1.102,178,359,20,4,0,3,28,*3/H,ASMVP-2GG
2007,27,STL,NL,158,679,565,99,185,38,1,32,103,2,6,99,58,.327,.429,.568,.997,157,321,27,7,0,8,22,*3/H,ASMVP-9
2008,28,STL,NL,148,641,524,100,187,44,0,37,116,7,3,104,54,.357,.462,.653,1.114,192,342,16,5,0,8,34,*3/HD4,ASMVP-1SS
2009,29,STL,NL,160,700,568,124,186,45,1,47,135,16,4,115,64,.327,.443,.658,1.101,189,374,23,9,0,8,44,*3/HD,ASMVP-1SS
2010,30,STL,NL,159,700,587,115,183,39,1,42,118,14,4,103,76,.312,.414,.596,1.011,173,350,23,4,0,6,38,*3/H,ASMVP-2GGSS
2011,31,STL,NL,147,651,579,105,173,29,0,37,99,9,1,61,58,.299,.366,.541,.906,148,313,29,4,0,7,15,*3/5H,MVP-5
2012,32,LAA,AL,154,670,607,85,173,50,0,30,105,8,1,52,76,.285,.343,.516,.859,138,313,19,5,0,6,16,*3D/5,MVP-17
2013,33,LAA,AL,99,443,391,49,101,19,0,17,64,1,1,40,55,.258,.330,.437,.767,116,171,18,5,0,7,8,D3,
2014,34,LAA,AL,159,695,633,89,172,37,1,28,105,5,1,48,71,.272,.324,.466,.790,126,295,28,5,0,9,11,*3D/5,MVP-17
2015,35,LAA,AL,157,661,602,85,147,22,0,40,95,5,3,50,72,.244,.307,.480,.787,118,289,15,6,0,3,10,3D/5,AS
2016,36,LAA,AL,152,650,593,71,159,19,0,31,119,4,0,49,75,.268,.323,.457,.780,113,271,24,2,0,6,6,*D3/H,
2017,37,LAA,AL,149,636,593,53,143,17,0,23,101,3,0,37,93,.241,.286,.386,.672,80,229,26,2,0,4,5,*D/3H,
2018,38,LAA,AL,117,498,465,50,114,20,0,19,64,1,0,28,65,.245,.289,.411,.700,91,191,12,2,0,3,3,3D,
2019,39,LAA,AL,131,545,491,55,120,22,0,23,93,3,0,43,68,.244,.305,.430,.734,92,211,21,3,0,8,1,3D/H5,
2020,40,LAA,AL,39,163,152,15,34,8,0,6,25,0,0,9,25,.224,.270,.395,.665,79,60,4,1,0,1,1,3D/H,
2021,41,TOT,MLB,109,296,275,29,65,3,0,17,50,2,0,14,45,.236,.284,.433,.717,91,119,14,5,0,2,3,3H/D5,
21 Yrs,,,,2971,12690,11114,1872,3301,672,16,679,2150,116,41,1345,1349,.297,.375,.544,.919,144,6042,413,113,1,117,315,,
162 Game Avg,,,,162,692,606,102,180,37,1,37,117,6,2,73,74,.297,.375,.544,.919,144,329,23,6,0,6,17,,
